"last_name, first_name","player_id","name_abbrev","team_id","position_name","age","bat_side","seconds_since_hit_000","seconds_since_hit_005","seconds_since_hit_010","seconds_since_hit_015","seconds_since_hit_020","seconds_since_hit_025","seconds_since_hit_030","seconds_since_hit_035","seconds_since_hit_040","seconds_since_hit_045","seconds_since_hit_050","seconds_since_hit_055","seconds_since_hit_060","seconds_since_hit_065","seconds_since_hit_070","seconds_since_hit_075","seconds_since_hit_080","seconds_since_hit_085","seconds_since_hit_090"
"Long Jr., Shed","643418","SEA","136","2B","24","L","0.00","0.55","0.86","1.13","1.37","1.59","1.80","2.00","2.20","2.39","2.58","2.76","2.94","3.12","3.30","3.49","3.67","3.86","4.03"
"Longoria, Evan","446334","SF","137","3B","34","R","0.00","0.57","0.90","1.17","1.41","1.64","1.85","2.06","2.26","2.45","2.65","2.84","3.02","3.21","3.39","3.57","3.75","3.93","4.11"
"Lopes, Tim","621005","SEA","136","LF","26","R","0.00","0.57","0.89","1.15","1.39","1.61","1.82","2.02","2.21","2.40","2.59","2.77","2.94","3.12","3.29","3.47","3.64","3.81","3.99"
"Lopez, Nicky","670032","KC","118","2B","25","L","0.00","0.56","0.89","1.15","1.39","1.62","1.83","2.03","2.23","2.41","2.60","2.78","2.96","3.14","3.31","3.49","3.66","3.84","4.04"
"Lowe, Brandon","664040","TB","139","2B","25","L","0.00","0.54","0.85","1.10","1.33","1.54","1.74","1.94","2.13","2.31","2.49","2.67","2.85","3.03","3.20","3.38","3.56","3.74","3.95"
"Machado, Manny","592518","SD","135","3B","27","R","0.00","0.56","0.89","1.17","1.42","1.65","1.86","2.07","2.27","2.47","2.65","2.84","3.02","3.20","3.38","3.56","3.75","3.93","4.11"
"Madrigal, Nick","663611","CWS","145","2B","23","R","0.00","0.55","0.86","1.12","1.36","1.58","1.79","1.99","2.18","2.37","2.55","2.73","2.91","3.08","3.26","3.43","3.61","3.78","3.97"
"Margot, Manuel","622534","TB","139","CF","25","R","0.00","0.57","0.89","1.14","1.38","1.59","1.79","1.99","2.18","2.36","2.54","2.72","2.89","3.06","3.23","3.40","3.57","3.73","3.92"
"Marte, Ketel","606466","AZ","109","2B","26","L","0.00","0.54","0.85","1.11","1.35","1.57","1.77","1.97","2.16","2.35","2.53","2.71","2.88","3.06","3.24","3.42","3.60","3.79","4.00"
"Marte, Starling","516782","MIA","146","CF","31","R","0.00","0.56","0.88","1.14","1.37","1.59","1.80","2.00","2.18","2.37","2.55","2.73","2.90","3.08","3.25","3.41","3.58","3.75","3.93"
"Martinez, J.D.","502110","BOS","111","DH","32","R","0.00","0.58","0.92","1.19","1.44","1.68","1.90","2.11","2.32","2.52","2.71","2.91","3.10","3.29","3.48","3.67","3.85","4.04","4.24"
"Mazara, Nomar","608577","CWS","145","RF","25","L","0.00","0.57","0.91","1.19","1.44","1.67","1.90","2.11","2.31","2.51","2.71","2.90","3.09","3.28","3.47","3.65","3.85","4.05","4.26"
"McCutchen, Andrew","457705","PHI","143","LF","33","R","0.00","0.56","0.89","1.17","1.41","1.63","1.85","2.05","2.25","2.44","2.63","2.81","2.99","3.17","3.35","3.52","3.69","3.87","4.05"
"McMahon, Ryan","641857","COL","115","2B","25","L","0.00","0.53","0.84","1.10","1.34","1.57","1.79","1.99","2.19","2.39","2.58","2.77","2.96","3.15","3.34","3.53","3.72","3.92","4.13"
"McNeil, Jeff","643446","NYM","121","LF","28","L","0.00","0.56","0.88","1.15","1.39","1.61","1.82","2.02","2.22","2.41","2.59","2.77","2.95","3.12","3.30","3.47","3.66","3.91","4.06"
"Mendick, Danny","664901","CWS","145","2B","26","R","0.00","0.58","0.90","1.18","1.43","1.66","1.89","2.10","2.30","2.50","2.70","2.89","3.08","3.27","3.46","3.65","3.84","4.03","4.22"
"Merrifield, Whit","593160","KC","118","RF","31","R","0.00","0.58","0.92","1.19","1.43","1.65","1.86","2.06","2.25","2.43","2.62","2.80","2.97","3.15","3.32","3.49","3.66","3.84","4.02"
"Moore, Dylan","664238","SEA","136","RF","27","R","0.00","0.57","0.90","1.17","1.41","1.64","1.85","2.05","2.25","2.44","2.62","2.81","2.99","3.17","3.34","3.52","3.69","3.87","4.05"
"Mountcastle, Ryan","663624","BAL","110","LF","23","R","0.00","0.56","0.89","1.15","1.39","1.61","1.82","2.02","2.22","2.41","2.59","2.77","2.94","3.11","3.29","3.46","3.63","3.80","3.98"
"Muncy, Max","571970","LAD","119","1B","29","L","0.00","0.53","0.84","1.10","1.34","1.56","1.77","1.97","2.17","2.36","2.55","2.73","2.91","3.09","3.27","3.45","3.63","3.82","4.03"
"Murphy, Daniel","502517","COL","115","1B","35","L","0.00","0.57","0.91","1.20","1.45","1.68","1.90","2.11","2.32","2.52","2.71","2.91","3.10","3.29","3.47","3.66","3.84","4.02","4.23"
"Myers, Wil","571976","SD","135","RF","29","R","0.00","0.55","0.87","1.13","1.37","1.59","1.80","2.00","2.19","2.37","2.55","2.73","2.91","3.08","3.25","3.42","3.59","3.77","3.95"
