order	player	team	pp	pp_pct	estimate_pct	range_low_pct	range_high_pct	band	recommendation	strength	confidence	gap	physical_coverage	peak_z	accel_z	accel_conf	end_z	end_conf	S_z	game_z	community_z	peak_share	reason_code	supporting_lanes
48	小園 海斗	広島東洋カープ	79	0.8217	0.575	0.195	0.835	AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	-0.24670000000000003	0.5017778515446351	-0.0894	0.004238757731928987	0.1403595698144321	0.5191745582608714	0.19889993533435146	0.3871	0.22523687033723605	0	0.2845403171719817	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
49	矢野 雅哉	広島東洋カープ	78	0.8036	0.435	0.055	0.825	AVERAGE	POWERPRO_TOO_HIGH_OR_STALE	PEAK_LED_CONCERN_ONLY	LOW	-0.3686	0.3553221594404618	-0.7282	0.19271164556474088	0.024782115433464647	0.19271164556474088	0.06629174936807469	0.7841	0.7648308155762704	0	0.6169101392279697	LARGE_DIRECTIONAL_GAP_WITH_PARTIAL_SUPPORT	peak_speed
50	秋山 翔吾	広島東洋カープ	73	0.7158	0.715	0.305	0.925	ABOVE_AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	-0.0008000000000000229	0.6168515763902311	-0.0096	0.8314180867978883	0.5408232193308029	0.6977040535453959	0.42201536863663436	0.4157	0.968723948998991	0	0.011334265997950009	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
51	菊池 涼介	広島東洋カープ	72	0.6848	0.615	0.175	0.875	AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	-0.06979999999999997	0.4	0.1501	0	0	0	0	0.3005	0.12073290241695718	0	0.6032564245342164	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
52	野間 峻祥	広島東洋カープ	88	0.9561	0.635	0.095	0.915	ABOVE_AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	-0.32109999999999994	0.328	0.0703	0	0	0	0	0.6933	1.1717373747025153	0	0.22044418969746898	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
53	サンタナ	東京ヤクルトスワローズ	47	0.1344	0.195	0.015	0.545	BELOW_AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.060600000000000015	0.6523792106234623	-0.6483	-0.5144213944558814	0.4757779893796492	-0.4194749630695459	0.3654860460318916	0	-0.39779186501579844	0	0.6460436741297856	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
54	並木 秀尊	東京ヤクルトスワローズ	97	0.9922	0.935	0.695	0.985	VERY_FAST	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	-0.05719999999999992	0.5088670336333371	1.747	0.5545412001469738	0.2190638560555067	0.7832091081530377	0.3838262560556168	1.6506	1.7887246475082215	0	0.6975481228139426	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
55	中村 悠平	東京ヤクルトスワローズ	56	0.2481	0.155	0.005	0.685	SLOW	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	-0.09309999999999999	0.328	-0.9677	0	0	0	0	-0.7051	-1.223825533776372	0	0.720785781018379	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	peak_speed,S_context,game_context
56	丸山 和郁	東京ヤクルトスワローズ	86	0.9354	0.755	0.295	0.935	ABOVE_AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	-0.1804	0.4394985222866732	0.6292	0.9180073569398011	0.1495552304027652	0.8652093178468632	0.22210651055281216	0.4951	-0.027716166103678233	0	0.6691073194126216	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
57	古賀 優大	東京ヤクルトスワローズ	46	0.1189	0.545	0.085	0.825	AVERAGE	POWERPRO_TOO_LOW	PEAK_LED_CONCERN_ONLY	LOW	0.42610000000000003	0.4	0.3896	0	0	0	0	-0.8761	-1.110718293774389	0	0.4735917316711833	LARGE_DIRECTIONAL_GAP_WITH_PARTIAL_SUPPORT	peak_speed
58	塩見 泰隆	東京ヤクルトスワローズ	83	0.8786	0.425	0.045	0.845	AVERAGE	POWERPRO_TOO_HIGH_OR_STALE	STRONG_MULTI_LANE	MEDIUM	-0.45360000000000006	0.4938281746327501	0.5493	-0.9623872242865109	0.2645614157598819	-1.119750404326314	0.2881991663492851	0.7227	0	-1	0.3974052822140286	CURRENT_DECLINE_PLUS_NONPEAK_PHYSICAL_CONTRADICTION	initial_acceleration,end_to_end_maintenance,community_physical
59	岩田 幸宏	東京ヤクルトスワローズ	96	0.9871	0.985	0.845	0.985	ELITE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	-0.0020999999999999908	0.4	1.5873	0	0	0	0	2.0394	2.4422760721563463	0	0.6059034355981778	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
60	長岡 秀樹	東京ヤクルトスワローズ	58	0.2946	0.535	0.085	0.825	AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.24040000000000006	0.4	-0.0096	0	0	0	0	-0.1817	-0.012927621745725974	0	0.18767409021269518	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
