player,mine_current,mine_candidate,delta,pp,raw_diff_current,raw_diff_candidate,tier_current,tier_candidate,causes_candidate,stale_candidate
細川 成也,66.8,56.2,-10.60,60,6.799999999999997,-3.799999999999997,1,3,"PROJECT_EVIDENCE_CONFLICT|POWERPRO_STALE_OR_ODD",POWERPRO_STALE_POSSIBLE
秋山 翔吾,63.5,74.1,10.60,77,-13.5,-2.9000000000000057,2,3,"",NO_STALE_EVIDENCE
水野 達稀,76.1,86.5,10.40,71,5.099999999999994,15.5,1,1,"",NO_STALE_EVIDENCE
山口 航輝,61.5,52,-9.50,52,9.5,0,1,3,"PROJECT_EVIDENCE_CONFLICT|POWERPRO_STALE_OR_ODD",POWERPRO_STALE_POSSIBLE
福永 裕基,73.1,82.5,9.40,64,9.099999999999994,18.5,1,1,"POWERPRO_STALE_OR_ODD",POWERPRO_STALE_SUPPORTED
蝦名 達夫,61.8,71.2,9.40,75,-13.200000000000003,-3.799999999999997,2,3,"",NO_STALE_EVIDENCE
板山 祐太郎,66,75.3,9.30,72,-6,3.299999999999997,3,3,"POWERPRO_STALE_OR_ODD",POWERPRO_STALE_POSSIBLE
岸田 行倫,47.7,56.7,9.00,55,-7.299999999999997,1.7000000000000028,1,3,"POWERPRO_STALE_OR_ODD",POWERPRO_STALE_POSSIBLE
梶原 昂希,75.8,84.7,8.90,90,-14.200000000000003,-5.299999999999997,2,2,"CURRENT_EVIDENCE_WEAK",NO_STALE_EVIDENCE
丸山 和郁,68.7,77.1,8.40,86,-17.299999999999997,-8.900000000000006,1,2,"POWERPRO_STALE_OR_ODD|CURRENT_EVIDENCE_WEAK",POWERPRO_STALE_POSSIBLE
周東 佑京,86.8,94.8,8.00,96,-9.200000000000003,-1.2000000000000028,2,3,"POWERPRO_STALE_OR_ODD",POWERPRO_STALE_POSSIBLE
牧原 大成,76.2,84,7.80,82,-5.799999999999997,2,3,3,"POWERPRO_STALE_OR_ODD",POWERPRO_STALE_POSSIBLE
森下 翔太,55.1,62.7,7.60,60,-4.899999999999999,2.700000000000003,3,3,"POWERPRO_STALE_OR_ODD",POWERPRO_STALE_POSSIBLE
木浪 聖也,51.6,59.1,7.50,59,-7.399999999999999,0.10000000000000142,2,3,"POWERPRO_STALE_OR_ODD",POWERPRO_STALE_POSSIBLE
京田 陽太,59.2,66.4,7.20,78,-18.799999999999997,-11.599999999999994,1,2,"POWERPRO_STALE_OR_ODD",POWERPRO_STALE_SUPPORTED
海野 隆司,53.6,60.8,7.20,52,1.6000000000000014,8.799999999999997,3,3,"POWERPRO_STALE_OR_ODD",POWERPRO_STALE_POSSIBLE
郡司 裕也,67.6,60.5,-7.10,61,6.599999999999994,-0.5,1,3,"PROJECT_EVIDENCE_CONFLICT|POWERPRO_STALE_OR_ODD",POWERPRO_STALE_POSSIBLE
佐々木 俊輔,72.6,79.6,7.00,76,-3.4000000000000057,3.5999999999999943,3,3,"",NO_STALE_EVIDENCE
ファビアン,58.4,51.5,-6.90,61,-2.6000000000000014,-9.5,2,1,"PROJECT_EVIDENCE_CONFLICT|CURRENT_EVIDENCE_WEAK",NO_STALE_EVIDENCE
坂倉 将吾,55.6,62.4,6.80,68,-12.399999999999999,-5.600000000000001,1,3,"",NO_STALE_EVIDENCE
太田 光,54.9,61.5,6.60,44,10.899999999999999,17.5,2,1,"",NO_STALE_EVIDENCE
奈良間 大己,63.2,69.4,6.20,64,-0.7999999999999972,5.400000000000006,3,3,"POWERPRO_STALE_OR_ODD",POWERPRO_STALE_SUPPORTED
坂本 誠志郎,52.7,58.9,6.20,56,-3.299999999999997,2.8999999999999986,3,3,"POWERPRO_STALE_OR_ODD",POWERPRO_STALE_POSSIBLE
西野 真弘,62.5,68.5,6.00,76,-13.5,-7.5,1,2,"POWERPRO_STALE_OR_ODD|CURRENT_EVIDENCE_WEAK",POWERPRO_STALE_POSSIBLE
