player,team,mine,stat,npbDerived,npbUsed,pp,rawDiff,scalePart,scaleAdj,conflictRaw,conflictResid,conflictVerdict,stale,causes,games,pa,years,ageNow,nChg,lastChangeYear,directT90,shortD,exposure
中川 圭太,オリックス・バファローズ,68.9,55.3,73.2058049046002,32.6,74,-5.099999999999994,-8.267810739932187,3.167810739932193,17.905804904600203,3.4871846536733013,,NO_STALE_EVIDENCE,MODEL_SCALE,93,366,4,,5,2024,0,0,SOURCE_PA_200_399
太田 椋,オリックス・バファローズ,61.5,46,66.32783147240988,31.7,64,-2.5,-3.2827619704106326,0.7827619704106326,20.327831472409883,5.909211221482982,,NO_STALE_EVIDENCE,,85,347,3,,1,2024,0,0,SOURCE_PA_200_399
宗 佑磨,オリックス・バファローズ,63.1,47.6,67.8562700128966,31.9,76,-12.899999999999999,-4.360610353009896,-8.539389646990102,20.2562700128966,5.837649761969699,,NO_STALE_EVIDENCE,,96,388,4,,0,,0,0,SOURCE_PA_200_399
来田 涼斗,オリックス・バファローズ,67.5,54.2,71.67736636411345,32.4,85,-17.5,-7.324693405157831,-10.17530659484217,17.47736636411345,3.058746113186549,,NO_STALE_EVIDENCE,MODEL_SCALE,62,183,2,,4,2024,0,0,SOURCE_PA_100_199
森 友哉,オリックス・バファローズ,58.8,47.1,62.50673512119306,31.2,65,-6.200000000000003,-1.4638928247743976,-4.736107175225605,15.406735121193059,0.9881148702661573,,POWERPRO_STALE_POSSIBLE,POWERPRO_STALE_OR_ODD,65,250,4,,0,,0,0,SOURCE_PA_200_399
紅林 弘太郎,オリックス・バファローズ,54.9,42.6,58.68563876997621,30.7,56,-1.1000000000000014,1.1633626078112727,-2.263362607811274,16.085638769976207,1.6670185190493054,,POWERPRO_STALE_POSSIBLE,POWERPRO_STALE_OR_ODD,95,365,4,,2,2022,0,0,SOURCE_PA_200_399
若月 健矢,オリックス・バファローズ,56,47.5,58.68563876997621,30.7,48,8,0.4223418447742944,7.577658155225706,11.185638769976208,-3.232981480950693,,NO_STALE_EVIDENCE,,80,244,4,,3,2024,0,0,SOURCE_PA_200_399
西川 龍馬,オリックス・バファローズ,58.5,48.1,61.7425158509497,31.1,72,-13.5,-1.2617962530370406,-12.23820374696296,13.6425158509497,-0.7761043999772017,,POWERPRO_STALE_SUPPORTED,POWERPRO_STALE_OR_ODD,102,436,4,,1,2017,0,0,SOURCE_PA_400_PLUS
西野 真弘,オリックス・バファローズ,62.5,52.7,65.56361220216652,31.6,76,-13.5,-3.956417209535175,-9.543582790464825,12.863612202166522,-1.5550080487603797,,POWERPRO_STALE_POSSIBLE,POWERPRO_STALE_OR_ODD|CURRENT_EVIDENCE_WEAK,29,85,4,,1,2017,0,0,SOURCE_PA_50_99
カリステ,中日ドラゴンズ,60.4,51.1,63.27095439143642,31.3,82,-21.6,-2.5417412073736543,-19.058258792626347,12.170954391436418,-2.2476658594904837,,NO_STALE_EVIDENCE,CURRENT_EVIDENCE_WEAK,26,67,3,,0,,0,2,SOURCE_PA_50_99
